id,schoolName,location,tags,urls,cert
1516,六安职业技术学院,安徽六安市,专科（高职）;理工类;公办,https://zsw.lvtc.edu.cn/;http://www.lvtc.edu.cn/,NULL
1517,安徽电子信息职业技术学院,安徽蚌埠市,专科（高职）;理工类;公办,https://www.ahdy.edu.cn/zsxx/;http://www.ahdy.edu.cn/,NULL
1518,安徽交通职业技术学院,安徽合肥市,专科（高职）;理工类;公办;国家级骨干;现代学徒制试点院校,https://www.acvtc.edu.cn/zs;http://www.acvtc.edu.cn/,NULL
1519,安徽体育运动职业技术学院,安徽合肥市,专科（高职）;体育类;公办,http://zsjy.ahty.edu.cn/;http://www.ahty.edu.cn/,NULL
1520,合肥职业技术学院,安徽合肥市,专科（高职）;综合类;公办;现代学徒制试点院校,http://zs.htc.edu.cn/;http://www.htc.edu.cn/,NULL
1521,滁州职业技术学院,安徽滁州市,专科（高职）;综合类;公办;现代学徒制试点院校,https://www.chzc.edu.cn/zsxxw/;https://www.chzc.edu.cn/,NULL
1522,池州职业技术学院,安徽池州市,专科（高职）;理工类;公办,https://zs.zhxy.czvtc.edu.cn/#/index;http://www.czvtc.edu.cn/,NULL
1523,宣城职业技术学院,安徽宣城市,专科（高职）;理工类;公办,https://zs.xcvtc.edu.cn/;https://www.xcvtc.edu.cn/,NULL
1524,安徽广播影视职业技术学院,安徽合肥市,专科（高职）;艺术类;公办,http://www.amtc.edu.cn/zsw/;http://www.amtc.edu.cn/,NULL
1525,安徽电气工程职业技术学院,安徽合肥市,专科（高职）;理工类;公办;国家级骨干;现代学徒制试点院校,https://aepu.jysd.com/;http://www.aepu.com.cn/,NULL
1526,安徽冶金科技职业学院,安徽马鞍山市,专科（高职）;理工类;公办,https://zhao.avcmt.edu.cn/;https://www.avcmt.edu.cn/,NULL
1527,安徽城市管理职业学院,安徽合肥市,专科（高职）;综合类;公办,https://zjb.cua.edu.cn/;http://www.cua.edu.cn,NULL
1528,安徽机电职业技术学院,安徽芜湖市,专科（高职）;理工类;公办;国家级骨干;现代学徒制试点院校;高水平专业群建设单位（A档）,https://zs.ahcme.edu.cn/;http://www.ahcme.edu.cn,NULL
1529,安徽工商职业学院,安徽合肥市,专科（高职）;财经类;公办;现代学徒制试点院校,https://www.ahbvc.cn/zsb/;http://www.ahbvc.edu.cn,NULL
1530,安徽中澳科技职业学院,安徽合肥市,专科（高职）;理工类;公办,http://www.acac.cn/html/zs/;http://www.acac.edu.cn/,NULL
1531,亳州职业技术学院,安徽亳州市,专科（高职）;理工类;公办,http://www.bzy.edu.cn/zhaosheng;http://www.bzy.edu.cn/,NULL
1532,安徽国防科技职业学院,安徽六安市,专科（高职）;理工类;公办,https://www.acdt.edu.cn/zs/;https://www.acdt.edu.cn/,NULL
1533,安庆职业技术学院,安徽安庆市,专科（高职）;综合类;公办;现代学徒制试点院校,https://www.aqvtc.edu.cn/zhaosheng/;https://www.aqvtc.edu.cn/,NULL
1534,安徽艺术职业学院,安徽合肥市,专科（高职）;艺术类;公办,https://www.artcah.edu.cn/,NULL
1535,安徽财贸职业学院,安徽合肥市,专科（高职）;财经类;公办;现代学徒制试点院校,https://www.afc.edu.cn/zsxxw/;https://www.afc.edu.cn/,NULL
1536,安徽国际商务职业学院,安徽合肥市,专科（高职）;财经类;公办;现代学徒制试点院校,http://zhaosheng.ahiib.edu.cn/main.htm;https://www.ahiib.edu.cn/main.htm,NULL
1537,安徽林业职业技术学院,安徽合肥市,专科（高职）;农林类;公办,http://zsxx.ahlyxy.edu.cn/;http://www.ahlyxy.edu.cn/,NULL
1538,安徽审计职业学院,安徽合肥市,专科（高职）;财经类;公办,http://zsxxw.ahsjxy.cn;http://www.ahsjxy.edu.cn/,NULL
1539,安徽新闻出版职业技术学院,安徽合肥市,专科（高职）;综合类;公办,http://zs.ahcbxy.edu.cn/;http://www.ahcbxy.edu.cn/,NULL
